,dialogue,label,predict_label
947,make feel good make selfish look there's unselfish good deed sorry,JOEY,PHOEBE
948,hey rach work,MONICA,MONICA
949,umm listen i'm gonna need take rain check roommate really sick okay bye honey listen know know thing seem bad right,RACHEL,RACHEL
950,it’s perfect,Others,Others
951,ok,Others,ROSS
952,well don’t like say loud yeah don’t feel bad man strength you’re good number stuff,JOEY,PHOEBE
953,wrong,ROSS,ROSS
954,wait ok ok look side look julie's column,ROSS,RACHEL
955,like huh,CHANDLER,JOEY
956,yes know you’d say ask i’m sorry great would look walk aisle donna carin,RACHEL,MONICA
957,okay typical new york city apartment two guy hang ross,JOEY,CHANDLER
958,yeah sure,MONICA,JOEY
959,fine,CHANDLER,ROSS
960,say ross picture phoebe live street surround entire cast annie,CHANDLER,MONICA
961,i-i should’ve call y’know call big stupid fight never would’ve go nick would’ve end bed together throw man nipple,CHANDLER,CHANDLER
962,umm love touchy take work,Others,MONICA
963,oh no-no-no squinting doesn’t mean anything,CHANDLER,CHANDLER
964,need swordfish get swordfish,MONICA,JOEY
965,y'know mean really realise there’s age difference,Others,ROSS
966,wanna,MONICA,ROSS
967,oh work fine food division,CHANDLER,PHOEBE
968,yes apparently stevie band like,CHANDLER,ROSS
969,hey,JOEY,JOEY
970,didn’t that’s want talk brief you… may cry tear sadness anger discussion,RACHEL,Others
971,uh juggle thing,ROSS,ROSS
972,oh lot liquor leave christmas party,CHANDLER,Others
973,superhero could fly invisible would best,CHANDLER,RACHEL
974,okaaay rock hard place,CHANDLER,Others
975,oh i-i don’t know,MONICA,RACHEL
976,hey joey,ROSS,MONICA
977,couple day,MONICA,ROSS
978,didn’t break,CHANDLER,RACHEL
979,well i'm i'm shower,JOEY,MONICA
980,oh yeah sure umm,RACHEL,RACHEL
981,what-what ‘cha doin’,CHANDLER,JOEY
982,apartment,Others,RACHEL
983,ok get promise never ever tell ross told,JOEY,RACHEL
984,right question happy place okay warm breeze moonlight flow tree,PHOEBE,PHOEBE
985,hey guy uh want invite party tomorrow night,Others,Others
986,night guy,JOEY,ROSS
987,hoyt,MONICA,Others
988,get good woman could get bottle overpriced champagne,CHANDLER,JOEY
989,look,MONICA,ROSS
990,ohh right right sorry i’ll right back,RACHEL,Others
991,you’re hardcore s&m right,Others,JOEY
992,actually that’s three hole punch,Others,CHANDLER
993,play date stripper,RACHEL,ROSS
994,broke arm,Others,Others
995,whoa ah we’re gonna give lemonade,JOEY,JOEY
996,yeah day,JOEY,JOEY
997,relax okay i-i-i get open anybody coat hanger,JOEY,PHOEBE
998,get there’s gonna rumour there’s way stop sophie know monica phoebe know,RACHEL,RACHEL
999,i'm sorry catch name paul,CHANDLER,Others
1000,okay good right let’s get back car ‘cause it’s freeze chest unsupported,PHOEBE,RACHEL
1001,musical version tale two city think i'm gonna sing new york new york ah oh leave heart san francisco,JOEY,CHANDLER
1002,oh okay,RACHEL,PHOEBE
1003,oh kath get go we're go hamster,JOEY,ROSS
1004,ah ever close,Others,ROSS
1005,maybe joey's right maybe good deed selfish,RACHEL,PHOEBE
1006,yeah,ROSS,ROSS
1007,chandler ok,MONICA,RACHEL
1008,ah actually mine,Others,JOEY
1009,em-emily em-emily emily,ROSS,ROSS
1010,fun god love sexy,PHOEBE,RACHEL
1011,phoebe woo,RACHEL,MONICA
1012,know,RACHEL,RACHEL
1013,talk you-you're one who's tell get ross move i'm move move come give one good reason wanna go,RACHEL,JOEY
1014,anyone want appraise anything,ROSS,MONICA
1015,don’t make enough fun already,JOEY,RACHEL
1016,hey joey want let know find selfless good deed go park let bee sting,PHOEBE,PHOEBE
1017,can't believe paolo kiss mom,CHANDLER,PHOEBE
1018,know mean i've never look way,RACHEL,RACHEL
1019,anything ya,JOEY,JOEY
1020,hi,CHANDLER,Others
1021,oh i’ll get,PHOEBE,MONICA
1022,i’m i’m i’ve get anybody ah want anything,CHANDLER,JOEY
1023,still,ROSS,Others
1024,wh-what's,Others,ROSS
1025,write,CHANDLER,PHOEBE
1026,well y'know possibly didn’t tell though right,RACHEL,RACHEL
1027,would freak,Others,Others
1028,whoa-whoa-whoa drink near bucket set make contribution leave hurt bunny look hi bob think told get outta,PHOEBE,Others
1029,okay didn’t hear,PHOEBE,RACHEL
1030,hey-hey i’m judging,JOEY,ROSS
1031,it’s it’s second,MONICA,ROSS
1032,rach nonfat milk,Others,ROSS
1033,yeah book light year ahead time,PHOEBE,Others
1034,i’m go say hi lad right,Others,ROSS
1035,shhhh,JOEY,Others
1036,well asked want go bed tonight,Others,Others
1037,oh hey hey nick boxer let’s see got right ya put ‘em come,PHOEBE,CHANDLER
1038,just...please tell,MONICA,MONICA
1039,hey,JOEY,JOEY
1040,deal,MONICA,Others
1041,get extra one want,Others,ROSS
1042,okay ooh i’m set phone i’m still don’t go anywhere i’m still don’t-don’t switch anything ‘cause i’m i’m right one sec one sec one second wait one second just…,PHOEBE,PHOEBE
1043,twelve hundred dollar think i’m home middle day get patio furniture living room guess there’s thing don’t get book learnin’,JOEY,CHANDLER
1044,damnit phoebe,JOEY,MONICA
1045,well can't bear overboard think he's drown hey fellow grab sugar-o save help i'm drown help,Others,ROSS
1046,cool girl roommate,CHANDLER,CHANDLER
1047,oh right rachel chick coffee place,Others,Others
1048,okay ross phoebe girlfriend okay tell everything know mean come guys thing mean locker room stuff,RACHEL,RACHEL
1049,mmm oh,ROSS,Others
1050,oh love casserole,PHOEBE,RACHEL
1051,come,MONICA,ROSS
1052,crematorium chris sure,MONICA,RACHEL
1053,unbelievable,MONICA,RACHEL
1054,besides take focus hat,MONICA,MONICA
1055,well he’s shy doesn’t thing he’s good enough dance girl yet,JOEY,ROSS
1056,pheebs could maybe hand cracker,RACHEL,JOEY
1057,right-all right fine i-i’m gonna call cop,ROSS,PHOEBE
1058,get see guy anyway,ROSS,MONICA
1059,unfair i'll call tell totally fault,PHOEBE,MONICA
1060,irish gig guy,JOEY,ROSS
1061,great,RACHEL,Others
1062,mean gina,MONICA,ROSS
1063,yeah know it’s real mustard-tastrophe help,PHOEBE,RACHEL
1064,i'm really glad monica ask,RACHEL,RACHEL
1065,oh look straight noodle,RACHEL,MONICA
1066,here's lemonade,RACHEL,MONICA
1067,chance alone yet,RACHEL,CHANDLER
1068,noone else,RACHEL,Others
1069,come back walk phone ring,JOEY,CHANDLER
1070,promise dr weinburg you’d never use phrase,MONICA,Others
1071,bye,Others,Others
1072,ok,CHANDLER,ROSS
1073,alright whadyou,PHOEBE,ROSS
1074,y’know tie one knot use tongue,RACHEL,MONICA
1075,insane mean joey go kill he’s actually go kill dead,MONICA,CHANDLER
1076,yeah it’s large plane,CHANDLER,Others
1077,mean amaze week would terrible even friend live together maybe someday friend stand front friend vow friend forever,MONICA,ROSS
1078,diary diary that's brilliant tell diary never would make read diary,Others,RACHEL
1079,uh rach we're run low resume,ROSS,MONICA
1080,yeah,ROSS,ROSS
1081,okay fine,CHANDLER,ROSS
1082,fine,ROSS,ROSS
1083,hi,Others,Others
1084,want single okay wanna marry,ROSS,ROSS
1085,come marcel sit,ROSS,ROSS
1086,dunno uh a-a,Others,ROSS
1087,kid together y'know they’re like they’re like family don’t know there’s chance could make work know wouldn’t want guy stand way okay wanna ah come poke nude guy,JOEY,JOEY
1088,ross he's playing spatula,MONICA,JOEY
1089,he's great umm he's deal oh wait minute gonna try…,MONICA,PHOEBE
1090,hey pheebs wanna help,JOEY,ROSS
1091,and-and already pay it’s giant,MONICA,MONICA
1092,breast milk,ROSS,ROSS
1093,wherever i’ve get like,CHANDLER,Others
1094,ooh look-look-look-look-look get monica naked,JOEY,PHOEBE
1095,don’t care wanna meet guy who's best sex ever,RACHEL,Others
1096,right come look ross take care it’s like he’s…chandler,JOEY,JOEY
1097,know spoke say already pass mucus plug,ROSS,CHANDLER
1098,hey know it’s common doesn’t happen every guy big deal,RACHEL,RACHEL
1099,emily kinda take long time huh,JOEY,ROSS
1100,hope find way happy hope still maid honor,Others,CHANDLER
1101,oh no-no-no-no last time leave spontaneous message end use phrase yes indeedy-o,CHANDLER,CHANDLER
1102,still love,ROSS,RACHEL
1103,right,Others,CHANDLER
1104,well ah wanna stay,ROSS,ROSS
1105,pheebs know,JOEY,JOEY
1106,yeah oh c'mere marcel oh marcel c'mere,PHOEBE,ROSS
1107,yeah i’m fairly intuitive psychic it’s substantial gift,PHOEBE,PHOEBE
1108,i’m-i’m depress talk,PHOEBE,Others
1109,ah didn’t,CHANDLER,JOEY
1110,chandler,PHOEBE,JOEY
1111,what's goin,ROSS,Others
1112,well forget fiches rachel,Others,Others
1113,c'mon daddy listen like like life everyone always tell shoe shoe shoe shoe today stop say wanna shoe wanna purse y'know hat i'm say want buy hat i'm say ha metaphor daddy,RACHEL,RACHEL
1114,ohh he's marry ross marry can't—i still can't believe,RACHEL,RACHEL
1115,dude,CHANDLER,JOEY
1116,know know...monkeys darwin know nice story think little easy,PHOEBE,CHANDLER
1117,wait long make move friend zone,JOEY,ROSS
1118,okay fine fine don’t want believe that’s fine,ROSS,ROSS
1119,okay see see everyone else happy she’s do,PHOEBE,ROSS
1120,really,MONICA,MONICA
1121,alright that's give back that's,RACHEL,ROSS
1122,i’m sorry say store number wrong i’m sorry that’s oh god,RACHEL,PHOEBE
1123,oh monica wow guy's astronaut would've cool like day,JOEY,RACHEL
1124,cruel would parent name child bethel,PHOEBE,CHANDLER
1125,oh where'm gonna stay,Others,ROSS
1126,go okay brace,CHANDLER,MONICA
1127,yeah know i-i wish y’know i-i think good thing y'know ‘cause we’ve first fight move y’know know me— nick’s pant,CHANDLER,PHOEBE
1128,actually ah poet,Others,CHANDLER
1129,i’m tell ya guy totally get back together,JOEY,RACHEL
1130,honey it’s pushy give home number,MONICA,RACHEL
1131,get win get rid rooster,MONICA,CHANDLER
1132,you’re great i-i know someday happen hang,ROSS,CHANDLER
1133,yeah,MONICA,ROSS
1134,bye pheebs,CHANDLER,ROSS
1135,okay pheebs decide picnic idea little… y'know any… it-it well blew think afternoon would go away whole weekend atlantic city,CHANDLER,ROSS
1136,boy know say can't change parent boy could i'd want,MONICA,MONICA
1137,yes yes that's right,ROSS,ROSS
1138,surprise party,PHOEBE,Others
1139,i’m i’m freak monica kinda trust something shouldn’t right haven’t live ask something monica still turn light bedroom,PHOEBE,PHOEBE
1140,what's matter,ROSS,MONICA
1141,hey rach,PHOEBE,MONICA
1142,want quit job feel like you’ve get girlfriend,RACHEL,Others
1143,oooh,RACHEL,JOEY
1144,shoot,ROSS,Others
1145,well care that-that turkey feed people parent's house they're gonna eat head,MONICA,PHOEBE
1146,talk,CHANDLER,MONICA
1147,yeah use trick hip cup okay okay,ROSS,RACHEL
1148,hey,ROSS,JOEY
1149,right fine,RACHEL,RACHEL
1150,oh god uh okay here’s thing thing okay thing,JOEY,RACHEL
1151,right come let’s go get coat,RACHEL,ROSS
1152,okay don’t know feel like one come back believe mother even i’m wrong care friend okay supportive,PHOEBE,PHOEBE
1153,okay,Others,RACHEL
1154,ok that's nice,PHOEBE,ROSS
1155,come come damnit damnit damnit damnit fault suppose like great day life y'know son bear know instead stuck closet,ROSS,JOEY
1156,trouble,PHOEBE,ROSS
1157,please tell mother,MONICA,MONICA
1158,uh weighted pound,ROSS,Others
1159,it’s knicks,JOEY,JOEY
1160,please it’s relief,MONICA,ROSS
1161,oh-ho whoa sorry tommy almost spill hot coffee,ROSS,RACHEL
1162,yeah totally,PHOEBE,ROSS
1163,noooo look know cannot wait week see mean big y'know i've gotta talk gotta ok i'll see later,RACHEL,ROSS
1164,oh right oh great,RACHEL,RACHEL
1165,wanna read something pro list,ROSS,Others
1166,guy many key anyway,MONICA,ROSS
1167,hi,MONICA,Others
1168,get married,ROSS,MONICA
1169,huh uh way i'm sorry gonna happen,PHOEBE,ROSS
1170,well doctor say take couple day body’s always little faster western medicine,PHOEBE,JOEY
1171,fine,RACHEL,ROSS
1172,fine,CHANDLER,ROSS
1173,hey guy kid play happy day always richie,ROSS,ROSS
1174,well mean think ever y'know someone who's like who's like best friend also make toe curl,RACHEL,RACHEL
1175,okay,Others,RACHEL
1176,oh know,Others,PHOEBE
1177,ok question well actually much question general wondering ment,ROSS,Others
1178,no-no it’s okay sure don’t want waterbed,PHOEBE,JOEY
1179,hey samboucha margarita,JOEY,JOEY
1180,would,ROSS,MONICA
1181,watch watch,PHOEBE,MONICA
1182,believe evolution,ROSS,ROSS
1183,please little bit back,MONICA,MONICA
1184,fine want get bird get bird,JOEY,CHANDLER
1185,oh yeah y'know it’s headboard it’s worth,RACHEL,RACHEL
1186,parent go really mad,Others,RACHEL
1187,g.i joe really think he's gonna fall,RACHEL,CHANDLER
1188,come,Others,ROSS
1189,there...uh huh huh huh andybody anybody else,ROSS,ROSS
1190,um yeah,RACHEL,PHOEBE
1191,yeah okay,ROSS,PHOEBE
1192,well doesn’t matter would,JOEY,RACHEL
1193,we're we're gonna get little sip water,Others,MONICA
1194,hi guy,PHOEBE,RACHEL
1195,hey know naked card game never bore,JOEY,CHANDLER
1196,get head get shoulder get arm get oh look little finger oh chest stomach boy definitely boy right ok leg knees foot oh oh he's he's person,ROSS,RACHEL
1197,shriek like marine,CHANDLER,JOEY
1198,hey-hey what’s go,JOEY,ROSS
1199,seek something deep soul call like foghorn janice janice want need can't live without know know know see ya,Others,CHANDLER
1200,well y'know didn’t actually sleep guy,CHANDLER,RACHEL
1201,dunno i've stand spell hear anything oh wait wait wait,JOEY,PHOEBE
1202,right go fight go london mean could emily but-but nicer go london,MONICA,ROSS
1203,uh say place could finally happy,ROSS,ROSS
1204,wait eat chalk,PHOEBE,MONICA
1205,yeah think we’re stupid,MONICA,CHANDLER
1206,little chat ah bonnie ah guess she-she happen bring y'know behind um whole head shave idea oh that’s right that’s right,ROSS,ROSS
1207,well,RACHEL,RACHEL
1208,oh yeah definitely know,JOEY,RACHEL
1209,yeah i’m rid alimony pony,Others,ROSS
1210,right girl man let’s see final tally ohhhh debbie box cooky nice,Others,JOEY
1211,oh honey come i’m sorry didn’t don’t mind pay due y'know much gonna learn fashion walk mira arthritic seamstress bathroom,RACHEL,RACHEL
1212,oh sorry,RACHEL,RACHEL
1213,mmmm,Others,ROSS
1214,um-hmm doesn’t sound delicious last minute,ROSS,MONICA
1215,it’s time conquer physical world,Others,CHANDLER
1216,look maybe get carry away there's something gotta know i'm best make best,CHANDLER,JOEY
1217,use room wow must’ve really good shape kid,PHOEBE,Others
1218,idea x-ray alone could couple hundred dollar,MONICA,MONICA
1219,slept monica,JOEY,RACHEL
1220,look sense woman depress vulnerable one gift,JOEY,CHANDLER
1221,phoebe juice squeeze person,RACHEL,MONICA
1222,back rachel together chandler kiss would hear,JOEY,Others
1223,get coffee,Others,Others
1224,thanks,Others,ROSS
1225,lighter’s,CHANDLER,Others
1226,work dairy queen,PHOEBE,MONICA
1227,we’re right,PHOEBE,CHANDLER
1228,okay funny somebody let please come i’m cold cover marinara sauce come let,MONICA,MONICA
1229,buon giorno bella phoebe,Others,MONICA
1230,it’s relative,RACHEL,Others
1231,well thought would best thing,CHANDLER,RACHEL
1232,well yeah kinda um that’s okay see understanding um see list five famous people i’m allow sleep it’s flattery,ROSS,ROSS
1233,foreign romantic country…,CHANDLER,MONICA
1234,take promotion it'd like admit actually,CHANDLER,RACHEL
1235,good,RACHEL,ROSS
1236,know meant notice ever since get chick we’ve fighting lot use,CHANDLER,Others
1237,wow everything look great sit,Others,RACHEL
1238,wanna tell wait four wet bridesmaid,MONICA,MONICA
1239,yeah know,JOEY,RACHEL
1240,sex addict,JOEY,CHANDLER
1241,know one that's popes volkswagen,CHANDLER,PHOEBE
1242,picked message emily susan go poetry read together,ROSS,ROSS
1243,well that's say joey,CHANDLER,CHANDLER
1244,uh let's see alvin simon theodore,CHANDLER,ROSS
1245,right,RACHEL,CHANDLER
1246,isn’t it’s suppose go can’t another guy,MONICA,MONICA
1247,i’ve think crazy mean don’t don’t think work,ROSS,ROSS
1248,hey—whoa slow keep move wow,RACHEL,Others
1249,pheebs hey pheebs,Others,JOEY
1250,anything keep inside learn hide feeling cry outloud,CHANDLER,MONICA
1251,oh yeah,Others,CHANDLER
1252,fine,ROSS,ROSS
1253,uh aside whole even pretty much bust,ROSS,Others
1254,wait wait wait wait,PHOEBE,PHOEBE
1255,mar-haaaan,CHANDLER,Others
1256,hey it’ll grow back right she-she’s really fun she’s cool and-and i’m finally move y'know mean get rachel y'know y'know i’m finally feeling sane go and-and kiss gooood wanna kiss and-and-and doesn’t work right really wanna put,ROSS,ROSS
1257,look i'm say spend whole evening least check,ROSS,JOEY
1258,y'know it’s joey’s fault ‘cause leave nose open,PHOEBE,PHOEBE
1259,do heh who’s stupid,JOEY,JOEY
1260,pick one,CHANDLER,ROSS
1261,say,PHOEBE,JOEY
1262,okay right don’t judge much okay um saw info-mercial um swear never-ever buy anything tv except mop stuff leg waxing look amazing,MONICA,PHOEBE
1263,right forget nevermind mine,PHOEBE,JOEY
1264,sick,MONICA,RACHEL
1265,oh yumm,ROSS,PHOEBE
1266,hang hang phone,Others,CHANDLER
1267,woman well american woman feel well,Others,CHANDLER
1268,look alright help,PHOEBE,ROSS
1269,okay highness,PHOEBE,RACHEL
1270,hey,RACHEL,JOEY
1271,well umm don’t give call,ROSS,RACHEL
1272,guy,CHANDLER,ROSS
1273,nothing mean anything really,ROSS,MONICA
1274,today,Others,Others
1275,tradition like parade parade decide gay move abandoned entire family,CHANDLER,CHANDLER
1276,oh aw forget,PHOEBE,RACHEL
1277,gotta get shot,JOEY,CHANDLER
1278,hey susan meet huey lewis,ROSS,Others
1279,uh yes uh london,JOEY,ROSS
1280,thought might awhile know thing might get musical,PHOEBE,CHANDLER
1281,want help,JOEY,ROSS
1282,know actually good ever lose ross spare,Others,RACHEL
1283,can’t believe they’re tell go easy,Others,MONICA
1284,yes cannot tell anyone one know,MONICA,RACHEL
1285,okay,MONICA,RACHEL
1286,hi ben,Others,MONICA
1287,awww man promise wouldn’t take chair,JOEY,CHANDLER
1288,y'know uh rachel,ROSS,Others
1289,uhh much uh work's good,MONICA,JOEY
1290,listen uh wanna go get drink something,JOEY,JOEY
1291,uh joey,RACHEL,CHANDLER
1292,yeah yeah let show around uh downstairs live room,Others,ROSS
1293,long want cuff,Others,ROSS
1294,hey hey come,Others,CHANDLER
1295,god he's good,RACHEL,PHOEBE
1296,ah,CHANDLER,JOEY
1297,say something hot,Others,ROSS
1298,also speaker phone,MONICA,CHANDLER
1299,expect christmas gift steal office,ROSS,CHANDLER
1300,uh absolutely yeah send hi,Others,ROSS
1301,hey chandler table place close come,JOEY,ROSS
1302,go one popular get ride chip’s motorcycle wear letterman jacket go one wore band uniform specially make,MONICA,MONICA
1303,oh,PHOEBE,PHOEBE
1304,think would clean whole lot apartment go way india,ROSS,RACHEL
1305,go,MONICA,CHANDLER
1306,two,PHOEBE,CHANDLER
1307,…and o’clock caterer rang say go chicken kiev instead chicken tarragon florist phone say aren’t tulip oh chilliest carpel-tunel syndrome we’re gonna be…,Others,CHANDLER
1308,i’m tell he’s dead dead fat guy stick,PHOEBE,CHANDLER
1309,actually the…,RACHEL,ROSS
1310,well vince great y'know cause he's like guy guy y'know he's burly he's sooo burly,PHOEBE,PHOEBE
1311,phoebe whaddyou think good stage name would,JOEY,MONICA
1312,oh guy guy hey jill saw guy last night yes guy,CHANDLER,CHANDLER
1313,time,RACHEL,ROSS
1314,oh wake,ROSS,CHANDLER
1315,april excessive noise italian guy's gay roommate come home dry-cleaning well that's excellent,CHANDLER,CHANDLER
1316,nobody like change,ROSS,MONICA
1317,okay um oh zoo commercial,PHOEBE,PHOEBE
1318,joey,MONICA,MONICA
1319,say mom,CHANDLER,ROSS
1320,party,RACHEL,Others
1321,really,PHOEBE,MONICA
1322,wha uh,ROSS,ROSS
1323,well may ask one example,JOEY,Others
1324,oh,PHOEBE,PHOEBE
1325,actually get hot water little lemon think strain voice scream loud,CHANDLER,CHANDLER
1326,well said-i say something phoebe,ROSS,MONICA
1327,oh ask one waitress work she'd help,MONICA,PHOEBE
1328,luisa home room,MONICA,RACHEL
1329,well it’s unsettle,CHANDLER,Others
1330,easy there's still lot relationship stuff,ROSS,CHANDLER
1331,help,Others,ROSS
1332,ooh madlibs mine,PHOEBE,PHOEBE
1333,want take responsibility everything go wrong relationship mean go five page unfaithful break,ROSS,ROSS
1334,oh,Others,PHOEBE
1335,okay don’t stop i’m invisible i’m,ROSS,CHANDLER
1336,eh go,JOEY,CHANDLER
1337,y'know he’s right there’s something like uh ammonia like kill pain,CHANDLER,ROSS
1338,yes,MONICA,CHANDLER
1339,g-gift thing's gift,ROSS,Others
1340,hey speak dad know seem think we’ll able find new place wedding,ROSS,ROSS
1341,that’s prison lingo,JOEY,ROSS
1342,love friend thing,MONICA,ROSS
1343,yeah,ROSS,ROSS
1344,hi-e,RACHEL,Others
1345,whoever find win prize,PHOEBE,CHANDLER
1346,personal shopping like walk around snooty rich people tell buy,PHOEBE,RACHEL
1347,miss expression face janice like fun,Others,PHOEBE
1348,oh god oh god poor monica,PHOEBE,RACHEL
1349,can’t believe really walk alone mean hear story new york,Others,CHANDLER
1350,morning rach i'm purse,PHOEBE,ROSS
1351,dinner six steak eggplant phoebe,MONICA,MONICA
1352,right pheebs back ok believe karma crap,Others,ROSS
1353,monica dan uh dan monica,RACHEL,ROSS
1354,well didn’t freedom either so…,ROSS,CHANDLER
1355,man keep lob keep knock right park,RACHEL,JOEY
1356,oh yeah,ROSS,CHANDLER
1357,oh ah don’t need,ROSS,JOEY
1358,hey hey hey,PHOEBE,ROSS
1359,pronounce wife wife marry,ROSS,Others
1360,don’t pick you’re stuck,RACHEL,CHANDLER
1361,could yeah,ROSS,PHOEBE
1362,back get wrong,Others,JOEY
1363,night vision goggles book pretend read i'm watch park mad lip they're fun,Others,Others
1364,okay well money i’d millionaire y'know get get jingle head sweetie,PHOEBE,MONICA
1365,yep that's invite play,PHOEBE,ROSS
1366,ohhh nice,MONICA,RACHEL
1367,oh,MONICA,PHOEBE
1368,here's thing janice know mean like we're different i'm like bing bing bing like boom boom boom,CHANDLER,Others
1369,hate guy,RACHEL,Others
1370,oh-whoa-wait gunther don’t-don’t forget shirt,JOEY,RACHEL
1371,don’t want forget,Others,RACHEL
1372,yeah really,Others,RACHEL
1373,dog man totally fit,JOEY,JOEY
1374,know thanks,MONICA,ROSS
1375,guy suck,PHOEBE,MONICA
1376,that-that good trick,JOEY,ROSS
1377,you’re smoking,JOEY,RACHEL
1378,sorry,RACHEL,Others
1379,yeah try stick freezer minute i’m tellin’ ya,JOEY,CHANDLER
1380,get marry fast,JOEY,MONICA
1381,go sperm bank,RACHEL,MONICA
1382,one want invite party,MONICA,ROSS
1383,god love finger,CHANDLER,RACHEL
1384,well i’m gonna fill food critic chelsea reporter,MONICA,CHANDLER
1385,can’t talk witness,CHANDLER,Others
1386,oh go i've scar ya i've say much i'm hopeless awkward desperate love hey janice um yeah i-i-i wanna apologize advance chase street,CHANDLER,CHANDLER
1387,i-i-i know fall category uh ross right back,JOEY,MONICA
1388,well say loud,ROSS,ROSS
1389,dead leg,MONICA,Others
1390,yes,CHANDLER,CHANDLER
1391,ohh um-hmm y'know choose find mean respect decision right,PHOEBE,RACHEL
1392,oh oh i'm i'm i'm sorry sweetie try ah i'm dial another number,ROSS,ROSS
1393,um we're kind emergency we-we look something,CHANDLER,MONICA
1394,happy i’m suppose vic happy,Others,Others
1395,charity,MONICA,Others
1396,man,JOEY,JOEY
1397,reward,CHANDLER,Others
1398,sign brother,RACHEL,MONICA
1399,actually that-that’s true incredible hulk uh dr bruce banner found… y’know ugh nevermind girlfriend’s lesbian,ROSS,ROSS
1400,wow rip ripped real nice,CHANDLER,Others
1401,ahhhh,CHANDLER,ROSS
1402,didn’t tell,CHANDLER,RACHEL
1403,carol call thank lasagna ask tell,MONICA,ROSS
1404,look listen tv movie go hear anything think get shot,JOEY,JOEY
1405,pheebs you’ve hour go sleep honey th-this isn’t healthy,MONICA,RACHEL
1406,uh get dressed i-i walk bus stop i'm fine,ROSS,CHANDLER
1407,game stuff,Others,MONICA
1408,don’t ask chandler ‘cause he’s one fool around told say could really fall true gettin’ janice grope sister,JOEY,PHOEBE
1409,well that’s ambitious,Others,CHANDLER
1410,hey gosh look soo familiar,RACHEL,RACHEL
1411,i’m totally screw okay gonna hot heavy stage every night they’re gonna go cast party he’s gonna try undermine y'know it’ll like where’s boyfriend what’s-his-name chester she’ll go no-no-no it’s chandler he’ll go whatever ha-ha-ha-ha,CHANDLER,JOEY
1412,okay i'm la vegas i'm liza minelli,CHANDLER,PHOEBE
1413,oh baby,JOEY,PHOEBE
1414,yeah we'll call plan right,JOEY,Others
1415,man sure miss julie,ROSS,JOEY
1416,run marcel run run marcel okay,MONICA,CHANDLER
1417,we’re kid,MONICA,CHANDLER
1418,chelsea,CHANDLER,Others
1419,yeah sure okay okay,RACHEL,RACHEL
1420,turn parent i'll either alcoholic blond chase twenty-year-old boy i'll end like mom,CHANDLER,CHANDLER
1421,kiss,CHANDLER,Others
1422,many tomorrow,ROSS,CHANDLER
1423,oo toe well people,RACHEL,ROSS
1424,know,PHOEBE,RACHEL
1425,oh come it’s like everyday occurrence mean usually i’m pretty much,CHANDLER,RACHEL
1426,hey,JOEY,JOEY
1427,oh y'know don’t talk work talk anything,RACHEL,PHOEBE
1428,ehh y'know high school kinda lose touch oh yeah run richard dorfman,Others,MONICA
1429,oh nonononono see he's know no-one's gonna say name they'll wind call geller get way,Others,CHANDLER
1430,number six,ROSS,Others
1431,well start build one decide take next step,JOEY,ROSS
1432,wow there’s lot didn’t know vomit,JOEY,MONICA
1433,oh y’know night meant lot wasn’t bad place anything meant lot ‘cause you’re really hot okay,CHANDLER,PHOEBE
1434,yeah y'know people self-involved,PHOEBE,RACHEL
1435,thank happy holiday,PHOEBE,PHOEBE
1436,oh good okay can't take anymore can't take anymore win okay pheebs fly jet well make spaceship get back home planet ross phone call today tom jones want pant back hornswoggle date character fraggile rock,CHANDLER,RACHEL
1437,dunno love high school y'know four year party date sex,JOEY,MONICA
1438,well we've gotta go,Others,Others
1439,dad wonder,ROSS,MONICA
1440,yeah know ‘cause come first,JOEY,PHOEBE
1441,can't believe,MONICA,CHANDLER
1442,i'm sorry,Others,Others
1443,i'm gonna help know get de-ursula-ized like know like joey go,PHOEBE,PHOEBE
1444,ohh…,ROSS,RACHEL
1445,oh she’s gonna love,MONICA,RACHEL
1446,think,CHANDLER,CHANDLER
1447,yeah,Others,ROSS
1448,y'know sense stop we're okay,CHANDLER,CHANDLER
1449,right i-i'm sorry i'm sorry see rach i'm actor…,JOEY,JOEY
1450,uh like could margaritas strong hey chandler,Others,JOEY
1451,would get morning sickness evening,PHOEBE,ROSS
1452,think bring back half beach hair much easy use shave head,Others,MONICA
1453,talk ross say read twice look y'know either doesn’t even think,RACHEL,RACHEL
1454,oh come,ROSS,RACHEL
1455,okay,CHANDLER,RACHEL
1456,minute think actually tryin smell something,CHANDLER,CHANDLER
1457,hey guy what's,RACHEL,RACHEL
1458,right look i'm proud ok well maybe little,JOEY,CHANDLER
1459,guy pick date yet,MONICA,ROSS
1460,know we’re rush,Others,Others
1461,hey,PHOEBE,JOEY
1462,thought good thing,MONICA,CHANDLER
1463,way own everything show much you’ve grow y'know mean mom never think would work “once cheater always cheater.” ooh wish hadn’t lose four month time need gain little perspective,RACHEL,ROSS
1464,haven’t,Others,MONICA
1465,oh don’t know honey it’s gonna really late,RACHEL,RACHEL
1466,tell story okay come driver…,PHOEBE,MONICA
1467,ready make commitment,RACHEL,MONICA
1468,know uh pretty great,JOEY,Others
1469,oooooh,JOEY,Others
1470,yeah,Others,ROSS
1471,yes call get okay mean get i'm sorry i'm sorry,PHOEBE,RACHEL
