,text,labels,predicted_label
11529,You're so efficient. I love you!,MONICA,MONICA
11530,"Thank you for writing your book. Its-its uh, great book and you are the queen of everything.",CHANDLER,RACHEL
11531,My boyfriend really does have good taste!,MONICA,RACHEL
11532,I'd lead with that.,ROSS,CHANDLER
11533,What are you doin’?,CHANDLER,CHANDLER
11534,"Is ah, is Chandler around?",JOEY,PHOEBE
11535,Richard? I'm not gonna go see your ex-boyfriend!,RACHEL,Others
11536,Hi!,RACHEL,JOEY
11537,"No, no, let me finish.",ROSS,JOEY
11538,Okay.,PHOEBE,PHOEBE
11539,What?!,Others,JOEY
11540,"Yeah, right. Look at you, you’re practically giddy.",RACHEL,JOEY
11541,"Naaaa... He still kills me. Last night he had me laughing so hard, I swear... a little pee came out.",MONICA,JOEY
11542,And that’ll get rid of my wisdom?,JOEY,Others
11543,"More importantly, was I any good?",CHANDLER,PHOEBE
11544,Hey you guys! Look what I just got.,PHOEBE,PHOEBE
11545,"Get the hell out of there, y’know?",RACHEL,ROSS
11546,Which is why Asteroids is perfect! It’s the oldest game!,CHANDLER,MONICA
11547,"Um, well, get over it. So, I mean you, you just seem to be a really nice guy, you know. Don't be so hard on yourself okay.",PHOEBE,PHOEBE
11548,Joey’s asking if you’ve just ruined the first book he’s ever loved that didn’t star Jack Nicholson?,ROSS,ROSS
11549,What?,Others,JOEY
11550,"least you've been married, OH MY GOD! I wanna trade lives with Ross",PHOEBE,MONICA
11551,No... Either of you girls got a quarter?,MONICA,CHANDLER
11552,"Hi, uh, nothing. That horrible woman just took my machine.",RACHEL,PHOEBE
11553,"Oh yeah, that looks good.",CHANDLER,RACHEL
11554,Ha!,JOEY,Others
11555,"Umm, no.",Others,JOEY
11556,Is your back feeling better?,Others,RACHEL
11557,She really said that?,JOEY,JOEY
11558,Is this yours?,Others,RACHEL
11559,"We’ll do it all, and better! Look, after tonight, Gandolf will want to party with us, dude! Come on!",JOEY,PHOEBE
11560,"""Hey Ross, it's you!"" Oh yeah, no that's-that's an old message, nobody needs to hear that.",ROSS,MONICA
11561,How was the pediatrician?,MONICA,JOEY
11562,"All right buddy, time to roll over.  No-no! No, no-n-n-n-no!! You are going to a clinic! You’re going to a clinic, and a pyjama store!",CHANDLER,JOEY
11563,"Yeah, and I don't wanna brag but a lot of the ideas were mine! Hell, you weren't there? All the ideas were mine!!!",CHANDLER,ROSS
11564,I'm gonna say someone I'm gonna have sex with.  Hey!,JOEY,RACHEL
11565,"No, I don't! Ross, I think I'm just a more secure person than you are.",RACHEL,CHANDLER
11566,You are unbelievable.,Others,ROSS
11567,"Ohh, well when you said all you were going to be doing between now and the time you leave is packing, you didn’t really leave me much choice. Did you?",Others,JOEY
11568,What did you get her?,RACHEL,JOEY
11569,Come on! I think this is funny!,RACHEL,MONICA
11570,"Oh-oh, wait, my mother is gonna be here any minute. And she has the keys.",ROSS,PHOEBE
11571,Yeah. We don't feel like we can host Thanksgiving this year.,CHANDLER,ROSS
11572,What?,CHANDLER,MONICA
11573,May I see it?,Others,MONICA
11574,What?!!,RACHEL,JOEY
11575,"Oh y’know, I’ve been living here a while and I’ve never seen what’s inside that closet. What is, what is in there?",CHANDLER,JOEY
11576,Wo-women? You mean like old women?,RACHEL,PHOEBE
11577,"Mindy?! My maid of honour, Mindy?!",RACHEL,CHANDLER
11578,Smooth.,CHANDLER,ROSS
11579,That’s all right. And so it begins.,RACHEL,RACHEL
11580,That’s it. Just relax.,PHOEBE,Others
11581,I can’t believe you bought this.,MONICA,ROSS
11582,Wow! Skates!,Others,CHANDLER
11583,I'm Rachel. It's so annoying when I put Emma on the phone to talk with my friends.,PHOEBE,ROSS
11584,You just wanna each take one?,MONICA,MONICA
11585,"Okay, so now do you believe that she's attracted to me?",CHANDLER,JOEY
11586,"Oh God, Phoebe!",RACHEL,JOEY
11587,"Ooh, sorry. Um, and, and then you put your arms around me. And then you put your arms around me. And, um, and then you tell me that you love me and you'll never forget me.",PHOEBE,CHANDLER
11588,I don't care! This guy is a nightmare!,RACHEL,MONICA
11589,"Most likely. Okay, I'm gonna be out there.",PHOEBE,PHOEBE
11590,"Vell, Eva, ve've done some excellent vork here, and I vould have to say, your pwoblem is qviiite clear.",JOEY,RACHEL
11591,"What, what, what, no, I don't wanna do that.",RACHEL,JOEY
11592,Oooooh.,RACHEL,PHOEBE
11593,"Yeah, but I love you more. Besides y’know, nothing goes with Bing. So I’m screwed. I mean… Oh, hi Emma. Yeah, that’s you. You’re our little Em. Oh what’s that honey? What? Oh, you want a little cousin? You want a cousin right now?!",MONICA,PHOEBE
11594,Wow!,Others,RACHEL
11595,She’s leaving for three months.,MONICA,MONICA
11596,"Oh, please.",MONICA,ROSS
11597,"Uhm, we just wanna give you a heads-up. Bill and Colleen hate us.",MONICA,MONICA
11598,"Well, it sounds kinda stupid... Who’s she?",CHANDLER,ROSS
11599,"Are you a, uh, friend of Rachel's?",Others,ROSS
11600,"Well I don't mind, I'll cancel. I would never miss my secretary's birthday.",Others,CHANDLER
11601,"I really am sorry about, you know..before. I just want to make sure you know that I really do like you.",JOEY,MONICA
11602,Never happened! Good night!,RACHEL,JOEY
11603,"Oh, I fell asleep.",MONICA,CHANDLER
11604,"No, did we miss it?",PHOEBE,MONICA
11605,What-what are-what are these?,RACHEL,MONICA
11606,"What are you, stop naming dwarves! Hello, Janice. Hi, I'm so glad that you called, I know I've been acting a really weird lately. And, it's just because I'm crazy about you, and I just got...stupid, and, and scared, and....stupid a couple of more times. I'm sorry. Really?! Really?!",CHANDLER,RACHEL
11607,Always illegal Joe.,CHANDLER,PHOEBE
11608,"I was tryin’ to make a sale!! Oh, man, if I ever run into that guy again, do you know what I’m gonna do?",JOEY,CHANDLER
11609,"All right, I will. No, I will. But umm, y’know just remember that it’s still really early, okay so, if it says that I’m not pregnant, that doesn’t mean that I’m not gonna get pregnant, okay and, and just please, just so I don’t go completely nuts, just try not put all your hopes on this.",PHOEBE,Others
11610,"Yeah, it’s beautiful.",CHANDLER,JOEY
11611,"Yeah, just give me a minute! Oh well, yes, I can think of one good thing.",RACHEL,RACHEL
11612,Hey!,CHANDLER,CHANDLER
11613,Nice!,CHANDLER,JOEY
11614,Michael.,MONICA,MONICA
11615,Yeah.,ROSS,JOEY
11616,"Hey, what do you want to drink?",Others,MONICA
11617,She was nothing compared to you.,JOEY,RACHEL
11618,"I can save you time ladies, I'm right here.",CHANDLER,JOEY
11619,"Yeah, but I don’t know why. Look at me, I’m having such a wonderful time!",RACHEL,Others
11620,I'm sorry you misunderstood...,CHANDLER,RACHEL
11621,"Okay. No need to panic. Deep breathes everyone. Okay umm uh, we’re just gonna have to spend some time and put the CDs in the right cases.",MONICA,ROSS
11622,"It's very, very nice. Well, come here. I'm very happy were gonna have all the sex.",CHANDLER,RACHEL
11623,Hey!,JOEY,PHOEBE
11624,Two.,PHOEBE,MONICA
11625,"""Well, but I'm not sure I really want to do anything about it.""",RACHEL,PHOEBE
11626,Yeah!,PHOEBE,JOEY
11627,Hey!,ROSS,ROSS
11628,"Oh, I do. How you doin?",JOEY,RACHEL
11629,"Here, let me help.",Others,RACHEL
11630,"Okay, so you both just know this stuff?",CHANDLER,Others
11631,"Y'know, if you listen closely, you can hear a thousand retailers scream.",CHANDLER,JOEY
11632,"Uh, some of her friends, yeah.",JOEY,PHOEBE
11633,Like this.,Others,ROSS
11634,Because it’s Arabian princess day at work! Okay?! Leave me alone!,PHOEBE,MONICA
11635,I bet two dollars.,ROSS,MONICA
11636,Ross?!,PHOEBE,ROSS
11637,R-R-Richard said he wants to marry you?! And-and Chandler’s tellin’ ya how much he hates marriage?!,JOEY,MONICA
11638,Yeah.,JOEY,Others
11639,"No, it's just... look, you know, when I first moved to the city I was a lot like her! I was spoiled, self-centered and you guys really took care of me.",RACHEL,MONICA
11640,"Yeah, love. It’s a tricky business isn’t it?",RACHEL,ROSS
11641,No!,CHANDLER,MONICA
11642,But people that you don't know and will never see again.,PHOEBE,Others
11643,"Okay, can I-can I make it up to you? Huh? I’m sorry. How about uh, dinner tomorrow night?! I’ll pay for myself!",JOEY,JOEY
11644,"You know what I mean. I mean like the sweetest guy. Joey, you’re just so, you’re so, so…",Others,JOEY
11645,You really want to take me?,CHANDLER,JOEY
11646,"Oh yes, yes, yes you can. Just say, um, 'Phoebe, my work is my life and that's what I have to do right now'. And I say 'your work?! Your work?! How can you say that?!'. And then you say, um, 'it's tearing me apart, but I have no choice. Can't you understand that?'. And I say 'no! No! I can't understand that!'.",PHOEBE,MONICA
11647,"If you need money, will you please-please just let me loan you some money?",CHANDLER,MONICA
11648,"A little uh, good deed for PBS and a little TV exposure, now that's the kind of math Joey likes to do!",JOEY,RACHEL
11649,Margha.,Others,RACHEL
11650,"Hey-hey-hey-ho-ho, I got this one. Here you go. Y’know I gotta tell ya, sometimes I just—I don’t get Chandler. Y’know, me and him do stuff all the time without you and you don’t get all upset.",JOEY,MONICA
11651,Yes.,ROSS,RACHEL
11652,"Thank you, sir.",CHANDLER,CHANDLER
11653,Hi!,JOEY,JOEY
11654,"I’m gonna go into the bathroom so I can look at it in the mirror, as I eat it.",MONICA,MONICA
11655,Isn't there any way you can keep him?,JOEY,ROSS
11656,I had a 'K'. Where's where's my 'K'?,ROSS,CHANDLER
11657,Op.,Others,JOEY
11658,"Yes!! Yes! Yeah, yeah, yeah!",MONICA,PHOEBE
11659,You’re a really good kisser.,MONICA,MONICA
11660,No! Seriously! What’s wrong with you?!,RACHEL,MONICA
11661,I bet this will work!,MONICA,MONICA
11662,"Oh, you forgot?",Others,CHANDLER
11663,"Okay, let's go!",ROSS,PHOEBE
11664,"Well, I don't know what else to do. I mean, I either keep my wife and lose one of my-my-my best friends or I keep my friend and get divorced the second time before I'm 30! So-so if anyone has-has a better suggestion, let's hear it! 'Cause I-I got nothing! All right, don't be shy, any suggestion will do. Okay then. Here we go. Magic 8 Ball, should I never see Rachel again? Ask again later. Later is not good enough. Ask again later. What the hell! This is broken! It-it is broken!",ROSS,MONICA
11665,"Oh, no, no, I don't have one. I just need to talk to my friend.",RACHEL,MONICA
11666,Who do you wanna fool around with?,MONICA,CHANDLER
11667,Does that mean we have to bust it open?,JOEY,PHOEBE
11668,"Oh, okay. Phoebe, do you take this man to be your husband?",JOEY,Others
11669,Isn’t that mine?,MONICA,MONICA
11670,Right.,PHOEBE,RACHEL
11671,"Oh, right, that's me!",RACHEL,MONICA
11672,"But you gotta have turkey on Thanksgiving! I mean, Thanksgiving with no turkey is like-like Fourth of July with no apple pie! Or Friday with no two pizzas!",JOEY,ROSS
11673,How's the hair?,ROSS,RACHEL
11674,No! The guy is mean. I mean really mean. I think you should stay away from him.,ROSS,ROSS
11675,What are you doing?,MONICA,MONICA
11676,Huh umm…,RACHEL,PHOEBE
11677,On account of my rage.,ROSS,Others
11678,MY SANDWICH!!!!!!,ROSS,ROSS
11679,"All right Miss Green, everything looks fine... Yep, I think we're starting to see some real progress here.",Others,JOEY
11680,I want you to be Crazy Bitch again.,PHOEBE,RACHEL
11681,What?!,JOEY,Others
11682,And you are a very funny clown.,RACHEL,MONICA
11683,Challenge extended.,ROSS,ROSS
11684,Thank God you’re here! You have to help me! Were you just talking to yourself?,RACHEL,JOEY
11685,I will have one.,CHANDLER,MONICA
11686,Alright...,RACHEL,CHANDLER
11687,"Sure!  Yeah! Las Vegas, number one!",PHOEBE,JOEY
11688,"I guess... Oh, I just had such an idea of what this day would be like, you know? Emma laughing and everybody gathered around her cake singing ""Happy Birthday"". Then we would all go into... HEY GET OUT OF THE ROAD YOU STUPID STUDENT DRIVER!!! They have to learn!",RACHEL,Others
11689,"Well, it certainly worked for that Valdez kid.",CHANDLER,JOEY
11690,Ok!,Others,ROSS
11691,"Because I forgot about our date, I'm so sorry.",JOEY,JOEY
11692,Well…,ROSS,JOEY
11693,"Hey-hey-hey! So, how did it go with Dana? Any reason I should leave a block of time open say Thursday?",JOEY,CHANDLER
11694,"Yeah, yeah I think I’m gonna find my own place.",RACHEL,PHOEBE
11695,"Yeah, that's kinda what I meant by ""bye!""",ROSS,CHANDLER
11696,"Okay, I’ll see you later pal.",ROSS,CHANDLER
11697,Gimme an ‘M!’,RACHEL,JOEY
11698,Perhaps I can persuade you. What if you can give your son this genuine pterodactyl egg replica.,ROSS,CHANDLER
11699,That-that’s always good news. Are you okay?,ROSS,Others
11700,"Hi! Ok, you're ready to go pick up Phoebe and go shopping?",RACHEL,RACHEL
11701,What? NO! I am not going to give them Ben!,ROSS,RACHEL
11702,As in Barbara Streisand’s husband James Brolin?,CHANDLER,JOEY
11703,Bye Mon.,RACHEL,CHANDLER
11704,No.,MONICA,RACHEL
11705,Uh-oh...,ROSS,JOEY
11706,What a relief. It has all the numbers of the people in her prayer chain.,Others,JOEY
11707,"Uh-huh. No, I hear what you’re saying and-and-and that makes a lot of sense but can I just say one more thing? Look how pretty!",RACHEL,JOEY
11708,You serious?,CHANDLER,MONICA
11709,Once!!,MONICA,PHOEBE
11710,"Look, it’s my wedding day okay? If you were getting married I would never do anything to upset you.",CHANDLER,JOEY
11711,Yeah...,Others,PHOEBE
11712,I'm sorry.,PHOEBE,ROSS
11713,How come we have one extra place setting?,RACHEL,PHOEBE
11714,Hey!,MONICA,Others
11715,You serious?!,MONICA,ROSS
11716,"Okay here, have one of these peppers. Oh ha… Oh God! So…so hot! Oh my— By the way, you don’t want to touch the pepper and then touch your eye.",ROSS,MONICA
11717,Move in with me.,ROSS,JOEY
11718,"You know, I'm really sorry I wasn't more supportive before.",JOEY,JOEY
11719,Ohh! You made up!,PHOEBE,MONICA
11720,They are gonna love me.,PHOEBE,PHOEBE
11721,"Mike, let me ask you something. How many sisters does Joey have?",PHOEBE,Others
11722,Hey!,PHOEBE,ROSS
11723,"Wow! I had no idea! But you know, I could always find another masseuse.",Others,MONICA
11724,"Yeah, I recognize the ankles!",ROSS,MONICA
11725,Really?,RACHEL,PHOEBE
11726,We're just hanging out by the spoons. Ladle?,CHANDLER,ROSS
11727,I don’t know.,RACHEL,ROSS
11728,Tiny portions?,MONICA,ROSS
11729,I see... Thanks very much. Is this your son?,ROSS,CHANDLER
11730,"Yeah, y'know I-I think I'm just gonna hang out in my room.",RACHEL,RACHEL
11731,"I’m great! I’m great. I’ve got a great job at Bloomingdale’s, have wonderful friends, and eventhough I’m not seeing anyone right now, I’ve never felt better about myself.",RACHEL,JOEY
11732,"Oh... Okay, sorry!",Others,JOEY
11733,What are you doing?,CHANDLER,Others
11734,"Hey, you've got a boyfriend!",MONICA,ROSS
11735,She's gonna be a scientist!,ROSS,MONICA
11736,You become friends after?,MONICA,PHOEBE
11737,"Oh yeah, yeah.",JOEY,MONICA
11738,I'm *happily* married.,CHANDLER,RACHEL
11739,"Uh, are you crazy? Are you insane? If you live with Phoebe, you two are gonna be y'know, live-living together!",CHANDLER,MONICA
11740,"I did not say fat! I said, ""Fa-aa-aw-ow…""",CHANDLER,MONICA
11741,"Oh, look, twins. Hi, guys. Oh, cute, cute.",PHOEBE,ROSS
11742,"Ok, all right, so I'll take her to the MET.",JOEY,MONICA
11743,Yeah!,CHANDLER,MONICA
11744,"Ugh, they sent me home. They said I can’t work if I’m sick.",MONICA,CHANDLER
11745,"Awww, y'know what your nickname is, Mr. Big…",MONICA,PHOEBE
11746,"Shhh, busy beaming with pride.",CHANDLER,ROSS
11747,Thats a great storycan I eat it?,JOEY,RACHEL
11748,One swift kick and he’ll back off.,Others,MONICA
11749,Thank God.,ROSS,PHOEBE
11750,"Absolutely. I'm fine! Totally fine. I don't know why it's coming out all loud and squeaky, 'cause really, I'm fine. I'm not saying I wasn't a little surprised to see you guys kissing. I mean, at first I was like.. But now that I've had time to absorb it; Lovin' this.",ROSS,JOEY
11751,Wow! That is a bad audition.,PHOEBE,MONICA
11752,"Yeah, yeah. He deserves to do the thing he loves one last time.",PHOEBE,Others
11753,My—Oh my God!,CHANDLER,Others
11754,You love her.,RACHEL,CHANDLER
11755,"No, she was this really dorky girl in high school that used to follow Rachel around like a puppy dog.",Others,JOEY
11756,"Wha...? Oh sure, now they lock it, but when they're having sex on the couch, its like",ROSS,JOEY
11757,"Oh, a wiseacre. . No, no, no, I understand you plan to support your wife by playing the piano? Isn't that kind of unstable?",JOEY,JOEY
11758,Your chair?!,JOEY,JOEY
11759,"Wow, you know, it's so beautiful out there. You always wanted to get married outside. Why don't you guys just do it on the street?",RACHEL,Others
11760,"Hey, did you stop by here?",MONICA,RACHEL
11761,"Okay honey, you do realize she only spins like that on ice.",RACHEL,ROSS
11762,Y-sure!,JOEY,ROSS
11763,That’s a mailman! That’s our mailman!  Hi. How are ya?,CHANDLER,RACHEL
11764,"I have a date with this diplomat I met while I was giving free massages outside the UN and, I don’t know where his country is.",PHOEBE,RACHEL
11765,Thank you.,PHOEBE,JOEY
11766,"Look, I'm sorry I didn't tell ya. I'm sorry man.",JOEY,JOEY
11767,Arghh!!,RACHEL,PHOEBE
11768,"Well, goodbye Chandler. I had a great blackout. See ya.",Others,PHOEBE
11769,"He's coming. Be cool, be cool, be cool.",MONICA,CHANDLER
11770,I don’t want him to tell this story for years.,CHANDLER,CHANDLER
11771,"I know! I know! Come on, please-please you guys, don’t-don’t be mad. I’m sure she just, she just said that stuff because she was nervous and you guys are like my best friends! Y’know? And it was our first date! Plus, she’s really sick!",JOEY,Others
11772,Chandler loves marriage!!,JOEY,RACHEL
11773,"Fine! Well then to quote Ross, ""I’d better be going.""",Others,JOEY
11774,"Woo-Hoo! The curse is broken! I called everybody I know, and everyone is alive.",PHOEBE,JOEY
11775,Hey!,CHANDLER,Others
11776,"Oh God, oh. Great, Monica, y'know what, you could've called, I have been up here, I've been worried...",RACHEL,Others
11777,"Rachel, we’re sorry for pushing those guys on you.",PHOEBE,ROSS
11778,"Especially the after taste, you know, I'll tell ya, that'll last ya till Christmas.",MONICA,PHOEBE
11779,How?,MONICA,JOEY
11780,I tried! They won't take her back.,RACHEL,RACHEL
11781,She hates Pottery Barn?!!,ROSS,PHOEBE
11782,Okay!,CHANDLER,RACHEL
11783,E!,Others,JOEY
11784,"Seriously, I-I asked you before and you still haven’t gotten it.",ROSS,MONICA
11785,You're-you're what?!,PHOEBE,PHOEBE
11786,"Hey Rach, somebody got you shoes!",MONICA,JOEY
11787,"Look, look, there’s got to be a way we can work past this. Okay, I can’t imagine, I can’t imagine my life without you. Without, without these arms, and your face, and this heart. Your good heart Rach, and, and....",ROSS,JOEY
11788,yeah-yeah-yeah!!,RACHEL,RACHEL
11789,"While most of us think of chocolate bunnies and baskets as traditional Easter gifts. Some people insist on giving live chicks as presents. Unfortunately, the sad fact remains that most of these little guys won’t live to see the fourth of July. Because of as a result of improper care, they will be dead.",Others,ROSS
11790,Really?!,MONICA,MONICA
11791,Much less happy!,PHOEBE,CHANDLER
11792,"Okay Pheebs, I know how we're going to figure this out. Okay, clear your mind and answer the first thing that comes into your head. Okay?",ROSS,Others
11793,Oh my God! That’s Pete! But why is Bill huggin’ Pete?,MONICA,ROSS
11794,"Oh, well I’m uh…",JOEY,Others
11795,"No, you were right. I don't have a plan.",MONICA,Others
11796,"I just, I thought Joey was there.",Others,PHOEBE
11797,What thing? What thing?,RACHEL,JOEY
11798,What are you talking about? Lots of things rhyme with Rachel. Bagel. Mail. Jail. Bail. Able. May-pole.,JOEY,JOEY
11799,"All right, so that's Missy Goldberg, Phoebe Cates and Molly Ringwald, who neither of us can go out with.",CHANDLER,ROSS
11800,"Uh, wow, 700.",JOEY,JOEY
11801,"Look Chandler, it was instinct! Okay? I just went for it!",JOEY,JOEY
11802,"Oh, oh, and hey-hey-hey, those little spelling tips will come in handy when you’re at home on Saturday nights playing Scrabble with Monica!!",RACHEL,PHOEBE
11803,"Ho-ho, I will.",Others,MONICA
11804,Hey! Is the show still on?,JOEY,RACHEL
11805,"Hey—Ooh, how’s Hilda? Is she working out?",PHOEBE,JOEY
11806,Sometimes I have bad dreams.,MONICA,MONICA
11807,"So I'm not, not gonna lose her?",CHANDLER,JOEY
11808,Ross!,RACHEL,Others
11809,"Uh, wow, you just said a bunch of stuff I didn’t know there.",JOEY,Others
11810,I KNOW!! I KNOW!! I KNOW!,RACHEL,JOEY
11811,"Ohh, of course we are! We left it up to fate. If we were supposed to get married there would be a clear-cut sign.",MONICA,JOEY
11812,My dad wanted to know if you wanted to play racquetball with us.,ROSS,ROSS
11813,Me too! So happy for them!,PHOEBE,Others
11814,"I hope by maid you mean mistress, because if some other woman was here cleaning then…",MONICA,ROSS
11815,"Oh. I guess you can. Okay but; I-I have to return it, so you can’t like it.",MONICA,RACHEL
11816,"Married couples send out cards, families send out cards, people who have been dating for a couple of months do not send out cards! What-what is she crazy?!",ROSS,CHANDLER
11817,"Y’know I was thinking, what if I uh, unpack here?",CHANDLER,MONICA
11818,"That’s just a lot of big talk, y'know.",CHANDLER,PHOEBE
11819,"Hey, I thought you already had one.",MONICA,CHANDLER
11820,Now?,MONICA,ROSS
11821,"My brother, Ross.",MONICA,JOEY
11822,"Oh, yes, could I have one of those.",CHANDLER,RACHEL
11823,"Well, what? What? What is it? That she left you? That she likes women? That she left you for another woman that likes women?",CHANDLER,RACHEL
11824,"Yeah, it all just came screaming back to me.  So how’s the game?",PHOEBE,CHANDLER
11825,"Well I, that’s the thing, I don’t know! I mean, whenever I brought it up with her she said, ""This is so fantastic! Why do we have to talk about the future? Let’s just enjoy…""",ROSS,CHANDLER
11826,"Excuse me. Hi, I’m a professor here. Do you know the Paleontology section, fifth floor, stack 437?",ROSS,MONICA
11827,"Hey, stripper!",JOEY,JOEY
11828,There it is! So what're you gonna do?,CHANDLER,CHANDLER
11829,"Of course not, because you’re in love with her.",PHOEBE,JOEY
11830,"All right, biggest suite in the place. Come on!",MONICA,JOEY
11831,"Oh, you’d like that wouldn’t ya?",Others,CHANDLER
11832,Aw come on Phoebe would you just think about it?,Others,JOEY
11833,Rachel? Do you smoke?,Others,MONICA
11834,Who?,ROSS,Others
11835,"Oh, now I have to go!!",JOEY,CHANDLER
11836,"Ok, you're scaring me a little bit.",JOEY,ROSS
11837,"All right everyone, lift! And slide!!",ROSS,CHANDLER
11838,I guess they weren't as good friends as we are.,JOEY,JOEY
11839,"Kidding! I’m gonna get there early, but I’m going to put you on the V.I.P list, okay? Look for me.",Others,ROSS
11840,Joey is having a secret Days Of Our Lives party up on the roof!,MONICA,ROSS
11841,"Oh, isn't Lori a doll?",Others,Others
11842,I know!,JOEY,JOEY
11843,"Okay. Uh, want something-want something to drink?",RACHEL,MONICA
11844,Why?! Why?! He said he’d call. Why hasn’t he called?,Others,Others
11845,"Yeah and if I had seven, maybe I would’ve said something like this, ""Wow! My boyfriend’s such a wise ass—seven!""",MONICA,MONICA
11846,I know! Phoebe is gonna love dressing them in these!,MONICA,JOEY
11847,Bye.,ROSS,RACHEL
11848,I don't know where the phone is.,RACHEL,Others
11849,"That is an old, Chinese woman!",ROSS,ROSS
11850,Daddy!,Others,Others
11851,Oh my God!,CHANDLER,ROSS
11852,Chandler! He's here!,JOEY,JOEY
11853,You-you have a very beautiful… eye.,Others,ROSS
11854,Hey.,JOEY,ROSS
11855,"Yeah, it's a vase.",PHOEBE,PHOEBE
11856,"Okay uh, however…",Others,JOEY
11857,We are pretty good.,MONICA,PHOEBE
11858,"Well, I think, I think Ross knows about me and Monica.",CHANDLER,MONICA
11859,"I’m sorry. Dr. Green, Mona. Mona, Dr. Green.",ROSS,MONICA
11860,"So, what are we gonna do today?",MONICA,RACHEL
11861,I will tell you as soon as you thank me for writing my book.,PHOEBE,JOEY
11862,"Look Julio, someone left their book here.",MONICA,MONICA
11863,Oh yeah.,JOEY,RACHEL
11864,Okay!,RACHEL,PHOEBE
11865,"You didn’t think I used to wear glasses, right?",CHANDLER,JOEY
11866,"Okay, hold on a sec.",MONICA,PHOEBE
11867,"Hey, Joey. Are men ever nice to strange women for no reason?",ROSS,CHANDLER
11868,What’s wrong with being the Bings?,ROSS,RACHEL
11869,"Now, do you think it should say, ""Love Ross and Mona?""",Others,JOEY
11870,"Oh Ross, come on! This is not, this is not a marriage!! This is the world’s worst hangover! Ross, listen, if you do not get this annulment, I will!",RACHEL,PHOEBE
11871,"Hey. Oh, I have a question. If-if-if one of you had to pick one of the other two guys to go out with, who would you pick?",RACHEL,JOEY
11872,Oh.,PHOEBE,JOEY
11873,You know what? That is a very good idea. I'm gonna go make a pitcher of Margaritas.,ROSS,MONICA
11874,"Wow, I have the spirit of an old Indian women living in mine.",PHOEBE,MONICA
11875,Oh my God.,JOEY,CHANDLER
11876,"You'll never get me, Joe!!!",ROSS,ROSS
11877,"Well, I just lost a job, and I'd like to raise the bet five bucks. Does anybody have a problem with that?",RACHEL,CHANDLER
11878,"Hey, come on! I had this friend from college and I made the stupid mistake of telling Joey that one time…she and I y’know…kissed a little bit.",RACHEL,ROSS
11879,You got it.,JOEY,PHOEBE
11880,Nicole Eggert. You'll like her.,JOEY,MONICA
11881,"Oh, well... Maybe we could...",CHANDLER,JOEY
11882,"Yeah! Here! Oh no, these are the trick deck. Okay. Here yes. Okay.",PHOEBE,JOEY
11883,How do you figure?,JOEY,JOEY
11884,"Yeah-yeah, you remember how I call you bunny?",MONICA,PHOEBE
11885,"No, I can't talk to you! I don't have a fancy ad in the Yellow Pages!",PHOEBE,JOEY
11886,"So, I need to write some depressing stuff to go along with my new floozy voice, but nothing that sad has ever really happened to me.",PHOEBE,MONICA
11887,Oh great!,RACHEL,JOEY
11888,I care!,RACHEL,MONICA
11889,Oh my God! My dog died!,RACHEL,CHANDLER
11890,"Oh my God, you've got a crush on your sister's stalker.",ROSS,MONICA
11891,Yeah! You can hook it up to your TV and you get radio!,RACHEL,RACHEL
11892,"Honey, you gotta talk to her.",MONICA,RACHEL
11893,Yes that’s the one about the soldiers who fight in World War I!,JOEY,JOEY
11894,"Okay, what is in here? Rocks?",CHANDLER,Others
11895,What’s up?,ROSS,ROSS
11896,"I was giving you some of my best moves, and you missed it. So please wake up so we can do it right!",CHANDLER,Others
11897,"All right, that’s it. Y'know I was still gonna let you have her. But now, forget about it. Prepare to feel very bad about yourself.",JOEY,JOEY
11898,I can't believe this. Rachel and Joey?,MONICA,JOEY
11899,Yeah? How'd it go?,ROSS,PHOEBE
11900,"Hey, umm, can I ask you guys something?",RACHEL,MONICA
11901,What do we do?,CHANDLER,MONICA
11902,Okay. I'll miss you.,Others,MONICA
11903,Really?!,RACHEL,ROSS
11904,Just when you thought that dude couldn't get any wierder.,RACHEL,PHOEBE
11905,"Yeah I guess, a little.",PHOEBE,JOEY
11906,He is! But he’s getting divorced—Ross! Maybe you know him.,PHOEBE,RACHEL
11907,"I can't believe it's raining again! Oh, it's so unfair!!!",MONICA,JOEY
11908,"Joey, I can’t do that!",RACHEL,RACHEL
11909,Yeah!,RACHEL,CHANDLER
11910,"Chandler’s knees. Chandler’s… ankles. Chandler’s ankle hair. Oh no. Okay, you’re all set.",PHOEBE,MONICA
11911,"Here's how I know you didn't watch the tape, ok? If you had seen what was on this tape, believe me, you would have some comments. Alright, now remember, I got paid a lot of money for this and it only aired in Japan.",JOEY,CHANDLER
11912,"Umm, yeah, actually, Susan’s gonna be home any minute, it’s kinda an anniversary.",Others,JOEY
11913,Call it even?,JOEY,CHANDLER
11914,Oh my.,JOEY,PHOEBE
11915,"Well, we could do that!",JOEY,JOEY
11916,What is it?,MONICA,MONICA
11917,"I don't care. I am trying to get a person out of my body here, and you're not making it any easier.",Others,ROSS
11918,Edward Nevski?,MONICA,MONICA
11919,No-no-no-no!,CHANDLER,CHANDLER
11920,"I’m sorry, who?",CHANDLER,Others
11921,No.,JOEY,RACHEL
11922,"Oh, come here sweetie, listen, you’re gonna go on like a thousand interviews before you get a job. That’s not how that was supposed to come out.",ROSS,JOEY
